heading,date,url
आजीवन कारावास की सजा काट रहे 139 कैदी होंगे रिहा," Sun, Jan 19, 2020, 1:08 AM IST ",https://www.prabhatkhabar.com/news/ranchi/jharkhand-ranchi-cm-hemant-soren-prisoner-release-jail-mandal-kara/1373143.html&prev=search&pto=aue
"पश्चिमी सिंहभूम में सामूहिक नरसंहार मामला : मुख्यमंत्री हेमंत सोरेन ने कहा, घटना दुर्भाग्यपूर्ण, नहीं बख्शेंगे दोषियों को"," Thu, Jan 23, 2020, 6:50 AM IST ",https://www.prabhatkhabar.com/news/ranchi/west-singhbhum-mass-massacre-chief-minister-hemant-soren-incident-unfortunate-will-not-spare-the-culprits/1374783.html
"VIDEO : झारखंड में अब कोई भूखा नहीं मरेगा, हम द्वेष की राजनीति नहीं करेंगे, बोले हेमंत सोरेन"," Thu, Jan 9, 2020, 5:52 PM IST ",https://www.prabhatkhabar.com/news/ranchi/no-one-will-die-of-hunger-in-jharkhand-says-hemant-soren-in-jharkhand-assembly/1369994.html&prev=search&pto=aue
"CM हेमंत ने राष्‍ट्रपति कोविंद, पूर्व राष्‍ट्रपति प्रणब मुखर्जी व केजरीवाल से की मुलाकात"," Fri, Jan 3, 2020, 9:53 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-ramnath-kovind-pranab-mukherjee-arvind-kejriwal-meeting-jharkhand/1367528.html&prev=search&pto=aue
"झामुमो विधायक जोबा मांझी: पति को खोने के बाद राजनीति में रखा कदम, फिर बनीं हेमंत सरकार में मंत्री"," Tue, Jan 28, 2020, 2:39 PM IST ",https://www.prabhatkhabar.com/news/ranchi/joba-majhi-jharkhand-jharkhand-cabinet-expansion-hemant-soren-cabinet-joba-majhi-jmm-mla-joba-majhi/1376376.html&prev=search&pto=aue
"पश्चिमी सिंहभूम में सामूहिक नरसंहार मामला : मुख्यमंत्री हेमंत सोरेन ने कहा, घटना दुर्भाग्यपूर्ण, नहीं बख्शेंगे दोषियों को"," Thu, Jan 23, 2020, 6:50 AM IST ",https://www.prabhatkhabar.com/news/ranchi/west-singhbhum-mass-massacre-chief-minister-hemant-soren-incident-unfortunate-will-not-spare-the-culprits/1374783.html&prev=search&pto=aue
"हेमंत सरकार में पहले भी मंत्री रह चुके हैं हाजी हुसैन अंसारी, जानें उनकी शख्सीयत को"," Tue, Jan 28, 2020, 2:25 PM IST ",https://www.prabhatkhabar.com/news/ranchi/haji-hussain-ansari-has-been-a-minister-before-in-hemant-soren-government-know-his-personality/1376373.html&prev=search&pto=aue
"हेमंत ने मांगी ट्राइबल यूनिवर्सिटी पीएम बोले, राज्य का रखेंगे ध्यान"," Sun, Jan 12, 2020, 2:59 AM IST ",https://www.prabhatkhabar.com/news/ranchi/jharkhand-ranchi-delhi-hemant-soren-tribal-university-pm-modi/1370757.html&prev=search&pto=aue
"मुख्यमंत्री हेमंत सोरेन ने सपरिवार रजरप्पा मंदिर में की पूजा-अर्चना, राज्‍यवासियों के लिए मांगी समृद्धि"," Thu, Jan 2, 2020, 8:10 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-with-family-rajarappa-temple-worship-statesman-prosperity-wish-jharkhand/1367045.html+&cd=6&hl=en&ct=clnk&gl=in&lr=lang_hi
"VIDEO : झारखंड में अब कोई भूखा नहीं मरेगा, हम द्वेष की राजनीति नहीं करेंगे, बोले हेमंत सोरेन"," Thu, Jan 9, 2020, 5:52 PM IST ",https://www.prabhatkhabar.com/news/ranchi/no-one-will-die-of-hunger-in-jharkhand-says-hemant-soren-in-jharkhand-assembly/1369994.html
